Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age,Price_per_unit_wt,Visibility_Ratio,Is_Low_Fat,MRP_bin
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,26,26.86120430107527,0.22681937493931403,1,"(231.2, 266.888]"
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,16,8.15358108108108,0.27248650119201245,0,"(31.288999999999998, 52.796]"
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,26,8.092457142857143,0.2368940256954128,1,"(118.765, 143.013]"
FDX07,19.2,Regular,0.022910510000000002,Fruits and Vegetables,182.095,OUT010,1998,Unknown,Tier 3,Grocery Store,732.38,27,9.484114583333334,0.3238268888793763,0,"(177.783, 194.486]"
NCD19,8.93,Low Fat,0.016164306,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,38,6.031511758118701,0.2284731733546846,1,"(52.796, 84.689]"
FDP36,10.395,Regular,0.091392321,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,16,4.944761904761904,1.2917779210019893,0,"(31.288999999999998, 52.796]"
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,38,4.224087912087912,0.18008796887564893,0,"(52.796, 84.689]"
FDP10,12.987879554655871,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,40,8.29713576773736,1.8017131534046593,1,"(102.133, 118.765]"
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Unknown,Tier 2,Supermarket Type1,1076.5986,23,5.985962962962963,0.23586276390161037,0,"(84.689, 102.133]"
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Unknown,Tier 2,Supermarket Type1,4710.535,18,9.782364583333335,1.3349906608640596,0,"(177.783, 194.486]"
FDY07,11.8,Low Fat,0.12187957333333332,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,26,3.859338983050847,1.7226977073176948,1,"(31.288999999999998, 52.796]"
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,28,7.78974054054054,0.642604296775069,0,"(143.013, 159.433]"
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,26,9.634344370860928,1.4136333303334365,0,"(143.013, 159.433]"
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,28,6.799897727272727,0.667955165685628,0,"(118.765, 143.013]"
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,38,12.014837920489295,0.9614843771350945,1,"(194.486, 231.2]"
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,28,6.262377777777778,0.976532748356041,0,"(52.796, 84.689]"
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,16,9.77535593220339,0.12150023949612869,1,"(102.133, 118.765]"
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,26,6.040155555555556,0.9780509976341661,0,"(52.796, 84.689]"
DRI11,11.400327868852461,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,40,9.936854562710304,0.4839299537418163,1,"(102.133, 118.765]"
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,21,17.268554307116105,1.4486671992134483,1,"(194.486, 231.2]"
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,38,13.308880636604773,1.9532401275348836,0,"(231.2, 266.888]"
FDW12,12.277108208955223,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,40,11.773489126255788,0.5003575621694792,0,"(143.013, 159.433]"
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,21,13.459479452054795,0.3632283516702737,1,"(194.486, 231.2]"
FDC37,12.277108208955223,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,40,8.771919100741126,0.8135350804314911,1,"(102.133, 118.765]"
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,28,11.914873646209386,0.36603192903437914,0,"(159.433, 177.783]"
NCD06,13.0,Low Fat,0.099887103,Household,45.906,OUT017,2007,Unknown,Tier 2,Supermarket Type1,838.908,18,3.531230769230769,1.4118467813970013,1,"(31.288999999999998, 52.796]"
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,21,5.534493132766515,0.9426733936687869,0,"(31.288999999999998, 52.796]"
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,38,3.3576309012875534,0.27358779906246256,1,"(31.288999999999998, 52.796]"
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Unknown,Tier 3,Grocery Store,178.4344,27,7.680776371308017,2.2822366400117686,0,"(31.288999999999998, 52.796]"
FDC14,12.305705009276437,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,40,3.5467614384627857,1.0208136408615707,0,"(31.288999999999998, 52.796]"
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Unknown,Tier 3,Grocery Store,163.7868,27,2.8984727272727273,2.4077788445320403,1,"(52.796, 84.689]"
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,16,5.185139784946236,1.1424767089354957,1,"(84.689, 102.133]"
FDP33,18.7,Low Fat,0.1026783142,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,16,13.72551871657754,1.451298947197818,1,"(231.2, 266.888]"
FDO23,17.85,Low Fat,0.1648463765,Breads,93.1436,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2174.5028,23,5.218128851540616,2.330008770866878,1,"(84.689, 102.133]"
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,28,9.992788571428571,1.3838171703653142,1,"(159.433, 177.783]"
NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,26,14.671019999999999,1.2620788930151343,1,"(143.013, 159.433]"
FDV20,13.224769381746812,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,40,9.683934464427235,0.8411652526082715,0,"(118.765, 143.013]"
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,16,13.84619209039548,1.598941198956874,0,"(118.765, 143.013]"
FDX10,12.987879554655871,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,40,2.8478397758732545,1.740109618267317,0,"(31.288999999999998, 52.796]"
FDB34,12.987879554655871,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,40,6.74627445005757,0.3742930623708453,1,"(84.689, 102.133]"
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,28,17.276044943820224,1.448941180910671,1,"(194.486, 231.2]"
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,38,12.857346938775509,0.3790630916347707,1,"(118.765, 143.013]"
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,26,14.184823529411766,1.6652946218022944,1,"(177.783, 194.486]"
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,16,12.174604215456673,0.9767287928329539,1,"(231.2, 266.888]"
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,38,10.411901234567901,0.5975733468642141,0,"(118.765, 143.013]"
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,Unknown,Tier 3,Grocery Store,358.2004,27,27.74146417445483,1.2650158710838615,1,"(177.783, 194.486]"
NCP05,19.6,Low Fat,0.028135430666666666,Health and Hygiene,153.3024,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2428.8384,23,7.821551020408163,0.39767813898809157,1,"(143.013, 159.433]"
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Unknown,Tier 2,Supermarket Type1,5815.0972,23,26.52226,0.36579294417384256,1,"(231.2, 266.888]"
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,28,3.8247318611987384,1.7192085914876263,0,"(52.796, 84.689]"
FDS02,13.42606890459364,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,40,14.663964664492301,3.6098600427206486,0,"(194.486, 231.2]"
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,28,19.469715832205686,0.958027266355054,1,"(143.013, 159.433]"
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,38,13.880863168219715,2.258735599859068,1,"(118.765, 143.013]"
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,38,11.82912582112178,0.40561463755905114,0,"(102.133, 118.765]"
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Unknown,Tier 2,Supermarket Type1,3121.2704,18,18.02472693896283,0.9193253586683994,1,"(194.486, 231.2]"
NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,2007,Unknown,Tier 2,Supermarket Type1,4815.0656,18,12.466732510288065,0.4065062512323129,1,"(143.013, 159.433]"
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,16,31.50421252371916,0.14209486020728923,1,"(231.2, 266.888]"
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Unknown,Tier 2,Supermarket Type1,2117.244,23,11.545644371941272,0.680676289670224,1,"(102.133, 118.765]"
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,26,4.548786610878661,1.0170877498527648,1,"(31.288999999999998, 52.796]"
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,28,12.881523178807948,2.452058507342582,1,"(194.486, 231.2]"
